"type"      , "Status"  , "Amount_In_Dollars", "Original_Date"           , "Traded_Time", "Last_Updated"                 , "Deposit_Type", "Fee_In_Dollars", "Market_Title", "Market_Ticker"          , "Market_Id"                           , "Filled", "Remaining", "Direction", "Order_Type", "Price_In_Cents", "No_Contracts_Owned", "No_Contracts_Average_Price_In_Cents", "Yes_Contracts_Owned", "Yes_Contracts_Average_Price_In_Cents", "Result", "Profit_In_Dollars", "Credit_Reason"                                  , "Credit_Type", "Introducing_Broker"
"Trade"     , ""        , "4.47"             , "2026-05-09T16:31:52.406Z", "12:31pm EDT", ""                             , ""            , "0.07"          , ""            , "KXBTC15M-26MAY091245-45", "281387c9-f5ae-4a86-82eb-e608e4972229", ""      , ""         , "Yes"      , "Taker"     , "41"            , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Settlement", ""        , ""                 , "2026-05-09T16:15:17.004Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091215-15", ""                                    , ""      , ""         , ""         , ""          , ""              , "9"                 , "0.38"                               , "9"                  , "0.40"                                , "yes"   , "0.00"             , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T16:09:50.252Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091215-15", "03cc97a3-0aa6-4c62-aa7d-6f6e6f959a0f", "4.1"   , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "4.1"              , "2026-05-09T16:09:50.252Z", "12:09pm EDT", ""                             , ""            , "0.02"          , ""            , "KXBTC15M-26MAY091215-15", "03cc97a3-0aa6-4c62-aa7d-6f6e6f959a0f", ""      , ""         , "No"       , "Taker"     , "89"            , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T16:06:01.624Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091215-15", "03cc97a3-0aa6-4c62-aa7d-6f6e6f959a0f", "4.1"   , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "4.1"              , "2026-05-09T16:06:01.624Z", "12:06pm EDT", ""                             , ""            , "0.07"          , ""            , "KXBTC15M-26MAY091215-15", "03cc97a3-0aa6-4c62-aa7d-6f6e6f959a0f", ""      , ""         , "Yes"      , "Taker"     , "45"            , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T16:05:35.668Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091215-15", "03cc97a3-0aa6-4c62-aa7d-6f6e6f959a0f", "5.78"  , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "5.78"             , "2026-05-09T16:05:35.668Z", "12:05pm EDT", ""                             , ""            , "0.10"          , ""            , "KXBTC15M-26MAY091215-15", "03cc97a3-0aa6-4c62-aa7d-6f6e6f959a0f", ""      , ""         , "No"       , "Taker"     , "49"            , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T16:04:30.875Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091215-15", "03cc97a3-0aa6-4c62-aa7d-6f6e6f959a0f", "5.78"  , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "5.78"             , "2026-05-09T16:04:30.875Z", "12:04pm EDT", ""                             , ""            , "0.08"          , ""            , "KXBTC15M-26MAY091215-15", "03cc97a3-0aa6-4c62-aa7d-6f6e6f959a0f", ""      , ""         , "Yes"      , "Taker"     , "31"            , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T16:03:41.569Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091215-15", "03cc97a3-0aa6-4c62-aa7d-6f6e6f959a0f", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T16:03:41.568Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091215-15", "03cc97a3-0aa6-4c62-aa7d-6f6e6f959a0f", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Credit"    , "Applied" , "0.04"             , "2026-05-09T11:54:31.507Z", ""           , ""                             , ""            , ""              , ""            , ""                       , ""                                    , ""      , ""         , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , "Volume Incentive for event KXETH15M-26MAY082000", "incentive"  , ""
"Credit"    , "Applied" , "0.02"             , "2026-05-09T11:50:23.940Z", ""           , ""                             , ""            , ""              , ""            , ""                       , ""                                    , ""      , ""         , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , "Volume Incentive for event KXETH15M-26MAY081315", "incentive"  , ""
"Credit"    , "Applied" , "0.01"             , "2026-05-09T11:48:30.637Z", ""           , ""                             , ""            , ""              , ""            , ""                       , ""                                    , ""      , ""         , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , "Volume Incentive for event KXETH15M-26MAY080930", "incentive"  , ""
"Credit"    , "Applied" , "0.01"             , "2026-05-09T11:45:48.901Z", ""           , ""                             , ""            , ""              , ""            , ""                       , ""                                    , ""      , ""         , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , "Volume Incentive for event KXETH15M-26MAY081530", "incentive"  , ""
"Settlement", ""        , ""                 , "2026-05-09T05:00:16.943Z", ""           , ""                             , ""            , ""              , ""            , "KXXRP15M-26MAY090100-00", ""                                    , ""      , ""         , ""         , ""          , ""              , "4"                 , "0.48"                               , "0"                  , "0.00"                                , "no"    , "4.18"             , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T04:56:36.436Z", ""           , ""                             , ""            , ""              , ""            , "KXXRP15M-26MAY090100-00", "4a1cc31b-f539-4bc7-9caa-b908e6b4afde", "4.18"  , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "4.18"             , "2026-05-09T04:56:36.436Z", "12:56am EDT", ""                             , ""            , "0.07"          , ""            , "KXXRP15M-26MAY090100-00", "4a1cc31b-f539-4bc7-9caa-b908e6b4afde", ""      , ""         , "No"       , "Taker"     , "54"            , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
